Symbol,Name,Call,Put,Tot,Days,Tot ADV,Call ADV,Put ADV,,
RGR,Sturm Ruger & Co Inc,317,694,"1,011",20,51,16,35,,
SP,SP Plus Corp,510,500,"1,010",20,51,26,25,,
SDLP,Seadrill Partners LLC,461,549,"1,010",20,51,23,27,,
HBM,Hudbay Minerals Inc,760,248,"1,008",20,50,38,12,,
BREW,Craft Brew Alliance Inc,808,196,"1,004",20,50,40,10,,
SA,Seabridge Gold Inc,696,308,"1,004",20,50,35,15,,
MCRI,Monarch Casino & Resort Inc,11,993,"1,004",20,50,1,50,,
BRKR,Bruker Corp,952,50,"1,002",20,50,48,3,,
AER,AerCap Holdings NV,954,46,"1,000",20,50,48,2,,
TDOC,Teladoc Inc,688,308,996,20,50,34,15,,
CPE,Callon Petroleum Co,494,500,994,20,50,25,25,,
JAZZ,Jazz Pharmaceuticals PLC,784,209,993,20,50,39,10,,
WIN,Windstream Holdings Inc,525,467,992,20,50,26,23,,
MBT,Mobile TeleSystems PJSC,585,405,990,20,50,29,20,,
DDC,Dominion Diamond Corp,784,201,985,20,49,39,10,,
FLXN,Flexion Therapeutics Inc,811,169,980,20,49,41,8,,
ASH,Ashland Global Holdings Inc,391,588,979,20,49,20,29,,
BEAT,BioTelemetry Inc,849,128,977,20,49,42,6,,
QUAD,Quad/Graphics Inc,29,947,976,20,49,1,47,,
NYLD,NRG Yield Inc,810,165,975,20,49,41,8,,
BOJA,Bojangles' Inc,646,329,975,20,49,32,16,,
BZH,Beazer Homes USA Inc,738,236,974,20,49,37,12,,
FBHS,Fortune Brands Home & Security Inc,87,886,973,20,49,4,44,,
LAUR,Laureate Education Inc,212,759,971,20,49,11,38,,
ARCC,Ares Capital Corp,667,302,969,20,48,33,15,,
MX,MagnaChip Semiconductor Corp,654,313,967,20,48,33,16,,
ABMD,ABIOMED Inc,636,330,966,20,48,32,17,,
CLH,Clean Harbors Inc,19,942,961,20,48,1,47,,
BVN,Cia de Minas Buenaventura SAA,946,14,960,20,48,47,1,,
AEIS,Advanced Energy Industries Inc,766,187,953,20,48,38,9,,
CNI,Canadian National Railway Co,486,467,953,20,48,24,23,,
GGAL,Grupo Financiero Galicia SA,733,219,952,20,48,37,11,,
RPM,RPM International Inc,701,251,952,20,48,35,13,,
WBAI,500.com Ltd,631,321,952,20,48,32,16,,
CEMP,Cempra Inc,866,85,951,20,48,43,4,,
STNG,Scorpio Tankers Inc,856,92,948,20,47,43,5,,
DEPO,Depomed Inc,474,474,948,20,47,24,24,,
SIVB,SVB Financial Group,459,487,946,20,47,23,24,,
BNS,Bank of Nova Scotia/The,533,412,945,20,47,27,21,,
NEP,NextEra Energy Partners LP,909,34,943,20,47,45,2,,
PLNT,Planet Fitness Inc,132,811,943,20,47,7,41,,
AQMS,Aqua Metals Inc,777,163,940,20,47,39,8,,
AEE,Ameren Corp,161,775,936,20,47,8,39,,
ATW,Atwood Oceanics Inc,611,324,935,20,47,31,16,,
