Symbol,Name,Call,Put,Tot,Days,Tot ADV,Call ADV,Put ADV,
RLJ,RLJ Lodging Trust,"1,017",886,"1,903",23,83,44,39,
AUPH,Aurinia Pharmaceuticals Inc,"1,261",641,"1,902",23,83,55,28,
LBTYK,Liberty Global PLC,"1,855",42,"1,897",23,82,81,2,
ST,Sensata Technologies Holding NV,"1,868",25,"1,893",23,82,81,1,
AB,AllianceBernstein Holding LP,"1,164",728,"1,892",23,82,51,32,
ERF,Enerplus Corp,891,998,"1,889",23,82,39,43,
PLAY,Dave & Buster's Entertainment Inc,"1,157",730,"1,887",23,82,50,32,
RES,RPC Inc,580,"1,306","1,886",23,82,25,57,
ASMB,Assembly Biosciences Inc,"1,190",694,"1,884",23,82,52,30,
IDTI,Integrated Device Technology Inc,"1,297",575,"1,872",23,81,56,25,
SFL,Ship Finance International Ltd,400,"1,472","1,872",23,81,17,64,
BHGE,Baker Hughes a GE Co,"1,068",799,"1,867",23,81,46,35,
JELD,JELD-WEN Holding Inc,262,"1,601","1,863",23,81,11,70,
HCP,HCP Inc,851,"1,011","1,862",23,81,37,44,
XENT,Intersect ENT Inc,"1,840",21,"1,861",23,81,80,1,
MOBL,MobileIron Inc,754,"1,101","1,855",23,81,33,48,
BRCD,Brocade Communications Systems Inc,960,892,"1,852",23,81,42,39,
OII,Oceaneering International Inc,72,"1,780","1,852",23,81,3,77,
CPRX,Catalyst Pharmaceuticals Inc,"1,720",130,"1,850",23,80,75,6,
DOV,Dover Corp,"1,379",469,"1,848",23,80,60,20,
PTEN,Patterson-UTI Energy Inc,"1,415",425,"1,840",23,80,62,18,
ONCE,Spark Therapeutics Inc,"1,539",296,"1,835",23,80,67,13,
CPLP,Capital Product Partners LP,"1,715",115,"1,830",23,80,75,5,
CAF,Morgan Stanley China A Share Fund Inc,"1,406",423,"1,829",23,80,61,18,
BEN,Franklin Resources Inc,527,"1,299","1,826",23,79,23,56,
CCRN,Cross Country Healthcare Inc,626,"1,196","1,822",23,79,27,52,
HMY,Harmony Gold Mining Co Ltd,"1,212",608,"1,820",23,79,53,26,
